u,g,r,i,z,redshift
18.98323,17.82311,17.38573,17.113570000000003,16.88637,0.055088099500000015
18.93294,17.76008,17.04174,16.6246,16.38229,0.10957898049999987
20.21673,18.33681,17.315,16.84305,16.48724,0.12289584549999992
19.27044,17.992910000000002,17.226679999999998,16.844160000000002,16.56261,0.11241898350000007
21.18684,19.10738,17.66902,17.1236,16.73386,0.23437317499999957
21.25741,18.89953,17.52005,16.98937,16.633,0.20714141500000005
18.92937,17.69761,16.97327,16.60975,16.3396,0.07088480749999997
19.64424,17.504170000000002,16.32442,15.853320000000002,15.47606,0.14079152600000022
19.69683,18.06341,17.23392,16.761570000000003,16.4658,0.1045483569999999
21.09125,18.80035,17.60527,17.14198,16.802529999999997,0.1683607300000001
19.59484,18.22985,17.434,17.04627,16.78148,0.10516939849999993
19.04386,17.01526,16.06948,15.6316,15.32944,0.07623379249999995
17.77188,16.62769,16.19355,15.91112,15.71404,0.044018694000000004
20.89109,18.46967,17.20872,16.72569,16.34681,0.18165109599999993
20.39461,18.43513,17.52825,17.12142,16.790789999999998,0.09857873099999993
20.70038,18.71223,17.71856,17.29936,16.98323,0.11914082549999995
18.62149,17.32956,16.7822,16.45177,16.22465,0.08201091849999993
18.94757,17.68773,17.12999,16.86047,16.7183,0.06579480399999994
18.87298,17.69631,17.28562,17.02832,16.87172,0.05521059149999995
19.1883,18.1137,17.83437,17.66224,17.74471,0.04434261690000004
18.28932,16.87189,16.17304,15.79471,15.55693,0.06231502299999994
19.30176,18.10175,17.586679999999998,17.29743,17.1849,0.07915882750000003
20.31883,18.20013,17.18131,16.77318,16.40108,0.11564604299999988
18.54414,17.65321,17.45348,17.252470000000002,17.15438,0.03948061699999998
19.25714,17.797179999999997,16.97061,16.545289999999998,16.31515,0.11395041699999994
17.93786,16.54554,15.86971,15.442479999999998,15.18949,0.04475692935
20.31328,18.14727,16.85572,16.36182,16.01529,0.17423820000000023
19.68423,17.93233,17.10566,16.73836,16.44258,0.05984348400000001
19.2135,17.44519,16.63916,16.267120000000002,15.9764,0.06565901399999988
20.74471,18.87519,17.67221,17.18071,16.847620000000003,0.18120314800000004
19.66988,18.46437,17.726589999999998,17.35257,17.127010000000002,0.13213807699999988
19.26262,17.81735,16.94689,16.51649,16.167479999999998,0.11237111149999995
19.62844,17.70895,16.9435,16.536360000000002,16.262610000000002,0.07274033999999995
19.14834,18.06492,17.58352,17.25115,17.076420000000002,0.10004224199999995
18.98965,17.75999,17.18652,16.84929,16.64335,0.0851046755000001
19.88384,18.12225,17.1709,16.71486,16.34808,0.11216816499999999
20.03204,18.56422,17.850920000000002,17.42075,17.227120000000003,0.11447547250000005
20.67753,18.95808,17.80435,17.24428,16.88435,0.16992399800000035
20.3545,18.78267,17.84941,17.4282,17.05089,0.14215823549999987
17.9085,16.50038,15.76931,15.37518,15.07956,0.045462045849999994
20.07043,18.1584,17.153660000000002,16.710379999999997,16.42521,0.11323564800000002
19.18534,18.02554,17.57249,17.29786,17.128989999999998,0.07631661305
19.60143,17.88897,17.008129999999998,16.577379999999998,16.27159,0.0919782045000001
19.6242,17.84921,16.858810000000002,16.35353,15.989120000000002,0.10338966899999993
20.08873,18.17356,17.10824,16.65778,16.2729,0.12997300349999985
19.97801,18.3807,17.76386,17.38102,17.2121,0.07851146650000007
20.04839,18.50443,17.692610000000002,17.31174,17.06837,0.11817523550000003
18.75845,16.681639999999998,15.71146,15.25035,14.9102,0.07910233000000004
20.18856,18.79291,17.80505,17.351570000000002,17.05105,0.1689359984999999
20.46871,18.69309,17.69205,17.2954,16.98571,0.12832282349999993
19.28599,18.12194,17.48844,17.07589,16.803829999999998,0.11645869099999989
17.57317,16.10772,15.54476,15.21338,15.02131,0.03725637635000002
18.24963,17.119,16.474320000000002,16.06476,15.78827,0.08047735299999997
20.36086,18.25844,17.10503,16.60705,16.22079,0.16309868199999997
20.09726,18.53762,17.88025,17.5566,17.36086,0.09771290049999992
19.46126,17.583879999999997,16.686970000000002,16.25038,15.92508,0.0864164975
19.67218,18.46485,17.81559,17.3854,17.11184,0.12540876099999992
19.71222,18.33545,17.61478,17.2173,16.88485,0.09916176100000003
19.79828,18.47026,17.758020000000002,17.32846,17.05621,0.10995366900000014
20.47503,18.57915,17.35504,16.88778,16.56071,0.1592027350000002
